Unnamed: 0,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price
5857,40.64356,-73.95053,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,83.0
5858,40.67411,-73.90482,Entire home,Entire home/apt,6,1.0,1 bath,2.0,3.0,83.0
5859,40.6431,-73.95048,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,83.0
5860,40.6212285,-74.1320476,Private room in guest suite,Private room,1,1.0,1 private bath,1.0,1.0,83.0
5861,40.75369,-73.87824,Private room in home,Private room,3,1.5,1.5 baths,1.0,2.0,83.0
5862,40.8334,-73.93846,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,83.0
5863,40.71156,-73.95274,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,0.0,83.0
5864,40.6658,-73.98625,Private room in home,Private room,2,2.0,2 shared baths,1.0,1.0,83.0
5865,40.71506,-73.75643,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,83.0
5866,40.86457,-73.84112,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,83.0
5867,40.8249,-73.89774,Entire condo,Entire home/apt,4,1.0,1 bath,1.0,2.0,83.0
5868,40.7579314,-73.9217096,Entire rental unit,Entire home/apt,1,1.0,1 bath,1.0,0.0,83.0
5869,40.68812603,-73.92702023,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,83.0
5870,40.68959,-73.9449,Private room in home,Private room,2,1.0,1 bath,1.0,1.0,83.0
5871,40.67576976,-73.93616653,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,83.0
5872,40.63833,-74.01671,Entire rental unit,Entire home/apt,1,1.0,1 bath,1.0,1.0,83.0
5873,40.65905,-73.89195,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,83.0
5874,40.76686087,-73.98721166,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,83.0
5875,40.7205,-73.98869,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,83.0
5876,40.67373,-73.84479,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,3.0,83.0
5877,40.73231,-73.9858,Entire rental unit,Entire home/apt,1,1.0,1 bath,0.0,1.0,83.0
5878,40.69412,-73.93385,Private room in townhouse,Private room,2,1.0,1 private bath,1.0,1.0,83.0
5879,40.68877,-73.91662,Private room in home,Private room,2,1.0,1 shared bath,1.0,0.0,83.0
